,seconds_elapsed,z,y,x
0,0.143439697,-2.846007824,-0.581976891,-0.46824646
1,0.159217041,-2.65146637,-0.560432315,-0.418556929
2,0.175116699,-2.132023811,-0.366185665,-0.535990119
3,0.190986084,-1.023349762,-0.04103899,-0.522485018
4,0.206763428,-0.449766159,0.2290151119232177,-0.356920421
5,0.222663086,-0.719320297,0.2695872783660888,-0.15787816
6,0.238471436,-0.810947418,0.145296574,-0.244672239
7,0.254371094,0.3405961990356445,0.1491501331329345,-0.077587843
8,0.270270752,1.5721473693847656,0.2505974769592285,0.2889077663421631
9,0.286078613,2.3789119720458984,0.1962623596191406,0.649343729
10,0.301978271,2.8623199462890625,0.2037711143493652,0.3647843599319458
11,0.317908691,2.700389862060547,0.1471118927001953,-0.003412008
12,0.333777588,2.1640186309814453,-0.057687163,-0.409338117
13,0.349616455,2.0739917755126958,0.1451317071914672,-0.673207581
14,0.365485596,2.3445873260498047,0.2557688951492309,-0.729026496
15,0.381568359,2.417898178100586,0.2013574838638305,0.025755763
16,0.397345703,2.2820701599121094,-0.122758389,0.3317008018493652
17,0.413154053,2.794582367,-0.566465557,-0.031676352
18,0.428992432,3.740675926208496,-0.980634391,-0.319312692
19,0.444800781,5.018012046813965,-1.098864675,0.1911458969116211
20,0.460669922,5.592435836791992,-1.40125227,0.7965996861457825
21,0.476508301,4.933927536010742,-1.172561646,1.0021618604660034
22,0.492347168,3.0177392959594727,-1.029299259,0.6576481461524963
23,0.508124756,1.3911638259887695,-0.858512282,0.058589995
24,0.5239021,0.4463663101196289,-0.654143631,-0.049235523
25,0.539740967,-0.004172325,-0.590934575,0.1026353240013122
26,0.555548828,-0.338381767,-0.586635113,0.3203808665275574
27,0.571387695,-0.974452019,-0.501717806,0.3753707408905029
28,0.587195557,-1.347993851,-0.400191069,0.2716492116451263
29,0.603003906,-1.939397812,-0.391282558,0.1420627981424331
30,0.618934082,-2.773595333,-0.502795815,-0.126885012
31,0.634741943,-2.900094986,-0.54095161,-0.303897798
32,0.650611084,-2.399430752,-0.491657972,-0.092907213
33,0.666449951,-1.881776333,-0.537903428,0.4635798931121826
34,0.682257813,-1.759528637,-0.499000669,0.7412582039833069
35,0.698157471,-2.377007484,-0.392492414,0.2373936921358108
36,0.71396582,-3.094855785,-0.031425595,-0.082133681
37,0.729804199,-3.678683758,0.1797957420349121,-0.274211943
38,0.745643066,-3.87898159,0.2424015998840332,-0.234604374
39,0.761481689,-3.156731129,0.2445688247680664,-0.289697707
40,0.777411865,-1.741560936,0.1422576904296875,-0.374059677
41,0.793250488,-0.301998138,0.098935843,-0.341155857
42,0.809180664,1.0535945892333984,0.050168276,-0.393536329
43,0.825019043,1.5996198654174805,-0.037647724,-0.310917854
44,0.840827393,1.2412605285644531,-0.163565159,-0.184471056
45,0.856727051,1.053497314453125,-0.106122494,-0.452747852
46,0.872535156,0.9728059768676758,-0.424127102,-1.008360744
47,0.888404297,1.40826416,-0.451901555,-0.923455954
48,0.904212158,1.921133041381836,-0.53486371,-1.183487177
49,0.91998999,2.4613771438598637,-0.730426669,-1.775396109
50,0.935889648,2.388934135437012,-0.869455695,-2.052634478
51,0.951636719,1.866504669189453,-1.191437125,-1.622460485
52,0.967536377,1.3687772750854492,-1.660028934,-1.354028463
53,0.983344482,1.4207944869995115,-1.730351806,-1.472456813
54,0.999244141,1.536418914794922,-1.606606483,-1.856554508
55,1.015113281,1.8923463821411133,-1.359781504,-2.145539284
56,1.030951904296875,1.5842819213867188,-1.321430922,-2.342544079
57,1.046820801,1.268878936767578,-1.118527174,-2.422440529
58,1.062659668,1.0196514129638672,-0.982948184,-2.343126059
59,1.078467773,0.4025325775146484,-0.890715122,-2.22850132
60,1.094367431640625,-0.506069183,-0.819964647,-1.982892632
61,1.110175537109375,-1.595736504,-0.505800247,-1.803790092
62,1.126075195,-2.154532433,-0.331769407,-1.79568696
63,1.141913818359375,-2.283013821,-0.159397066,-1.574979186
64,1.157782715,-2.079379559,-0.016326904,-1.162612677
65,1.173651855,-2.148258209,0.1065577268600463,-0.837670088
66,1.189490723,-2.167449474,0.1557914018630981,-0.558764398
67,1.205481934,-1.851746082,0.2480585575103759,-0.332333475
68,1.221290039,-2.127427578,0.4192040562629699,-0.170171261
69,1.23715918,-2.764023304,0.6824235320091248,-0.21576789
70,1.25302832,-3.726355553,0.9624554514884948,-0.66065824
71,1.268836426,-3.805017471,1.2202112674713137,-0.746095538
72,1.284766357421875,-3.006337643,1.247902512550354,-0.668910682
73,1.300605224609375,-1.615462303,1.1445024013519287,-0.421607733
74,1.316474365234375,0.1391839981079101,1.017978549003601,-0.353948683
75,1.332343505859375,1.4851179122924805,0.8698792457580566,-0.47580269
76,1.348121094,2.0567169189453125,0.7726507186889648,-0.605750442
77,1.363959473,2.1631641387939453,0.525965691,-0.49564141
78,1.37979834,2.058024406433105,0.4559088945388794,-0.685949564
79,1.395636962890625,1.8342208862304688,0.2588181495666504,-0.811847627
80,1.411505859,1.708417892456055,-0.067774057,-0.628426015
81,1.427344727,2.615478516,0.067501664,0.027970016
82,1.443213867,3.0270299911499023,0.3089672327041626,0.432580829
83,1.459052490234375,2.482306480407715,0.2669142484664917,0.5096502900123596
84,1.474830078,1.8826837539672847,0.1300328969955444,0.3490045666694641
85,1.490699219,2.3912506103515625,-0.230980277,0.3471745252609253
86,1.506507324,3.183260917663574,-0.668754101,0.379848301
87,1.522406982421875,4.392009735107422,-0.652835429,0.4464510083198547
88,1.538276123046875,4.439455032348633,-0.74754107,0.5999107956886292
