"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.533750931E1,6.501128057E1,2.550102382E1,2.287811095E1,4.034222412E1,1.299999952E0,8.900000000E1,2.786271367E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.634002020E1,6.501128215E1,2.550105959E1,2.251970776E1,3.998382568E1,1.250000000E0,8.909999847E1,2.804878636E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.733850103E1,6.501128450E1,2.550109881E1,2.336033955E1,4.082446289E1,1.570000052E0,8.850000000E1,2.821593832E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.833524655E1,6.501128737E1,2.550113374E1,2.370554929E1,4.116967773E1,1.059999943E0,8.800000000E1,2.838065145E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.934550223E1,6.501129096E1,2.550116776E1,2.354740195E1,4.101153564E1,1.450000048E0,8.200000000E1,2.855251570E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.034170363E1,6.501129504E1,2.550120305E1,2.372946425E1,4.119360352E1,1.289999962E0,8.040000153E1,2.870031307E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.133367040E1,6.501129923E1,2.550123291E1,2.374343633E1,4.120758057E1,1.059999943E0,7.969999695E1,2.885341564E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.233752483E1,6.501130356E1,2.550126385E1,2.344338235E1,4.090753174E1,1.389999986E0,7.990000153E1,2.901588124E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.334260608E1,6.501130660E1,2.550129768E1,2.284211999E1,4.030627441E1,1.309999943E0,8.300000000E1,2.916874451E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.434028457E1,6.501130891E1,2.550132976E1,2.262525751E1,4.008941650E1,1.309999943E0,8.309999847E1,2.931235634E-1,3.790092468E0,2.509026289E0,3.300000000E1
4.533558587E1,6.501130974E1,2.550136027E1,2.229474828E1,3.975891113E1,1.220000029E0,8.369999695E1,2.946323438E-1,3.790092468E0,2.562131405E0,3.300000000E1
4.633936691E1,6.501131008E1,2.550139238E1,2.194244948E1,3.940661621E1,1.299999952E0,9.200000000E1,2.962073935E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.734636342E1,6.501130930E1,2.550142586E1,2.168762405E1,3.915179443E1,1.460000038E0,9.709999847E1,2.978337451E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.834439686E1,6.501130768E1,2.550146027E1,2.077276464E1,3.823693848E1,1.360000014E0,9.730000305E1,2.994352573E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.933737503E1,6.501130398E1,2.550149322E1,1.984160975E1,3.730578613E1,1.429999948E0,9.780000305E1,3.010538540E-1,3.790092468E0,2.500000000E0,3.300000000E1
5.037001852E1,6.501129906E1,2.550152565E1,1.928966677E1,3.675384521E1,1.440000057E0,1.066999969E2,3.025686771E-1,3.790092468E0,2.500000000E0,3.400000000E1
5.134337373E1,6.501129435E1,2.550155591E1,1.869731870E1,3.616149902E1,1.250000000E0,1.065000000E2,3.041550913E-1,3.790092468E0,2.500000000E0,3.400000000E1
5.233953300E1,6.501128951E1,2.550158768E1,1.771342997E1,3.517761230E1,1.440000057E0,9.850000000E1,3.057507038E-1,3.790092468E0,2.500000000E0,3.400000000E1
5.334612191E1,6.501128581E1,2.550162050E1,1.761430634E1,3.507849121E1,1.350000024E0,9.840000153E1,3.072202479E-1,3.790092468E0,2.500000000E0,3.400000000E1
5.434389560E1,6.501128141E1,2.550165000E1,1.839982690E1,3.586401367E1,1.320000052E0,1.135000000E2,3.087446693E-1,3.790092468E0,2.500000000E0,3.400000000E1
