"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.098807837E1,6.503833483E1,2.555141390E1,2.025875596E1,3.773724365E1,1.529999971E0,2.410000000E2,4.412267364E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.199228946E1,6.503832588E1,2.555138318E1,2.042123729E1,3.789971924E1,1.720000029E0,2.365000000E2,4.430736044E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.299317936E1,6.503831624E1,2.555135113E1,2.045670480E1,3.793518066E1,1.779999971E0,2.333999939E2,4.448761393E-1,3.790092468E0,2.500000000E0,2.900000000E1
4.399733686E1,6.503830638E1,2.555132064E1,2.051652526E1,3.799499512E1,1.610000014E0,2.328999939E2,4.465206702E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.499518040E1,6.503829743E1,2.555129274E1,2.069084714E1,3.816931152E1,1.580000043E0,2.331000061E2,4.481757785E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.599295998E1,6.503828897E1,2.555126372E1,2.077642385E1,3.825488281E1,1.669999957E0,2.356999969E2,4.497964093E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.699543753E1,6.503828135E1,2.555123428E1,2.077850425E1,3.825695801E1,1.500000000E0,2.365000000E2,4.514771052E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.799463779E1,6.503827370E1,2.555120339E1,2.083856820E1,3.831701660E1,1.759999990E0,2.378000031E2,4.531773469E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.899159910E1,6.503826529E1,2.555117313E1,2.080463819E1,3.828308105E1,1.480000019E0,2.378000031E2,4.548530961E-1,3.790092468E0,2.500000000E0,3.000000000E1
4.999593873E1,6.503825705E1,2.555114323E1,2.067427254E1,3.815270996E1,1.620000005E0,2.363999939E2,4.564061458E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.099236019E1,6.503824921E1,2.555111584E1,2.074837430E1,3.822680664E1,1.320000052E0,2.363999939E2,4.580969884E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.199259540E1,6.503824033E1,2.555108659E1,2.080679052E1,3.828521729E1,1.740000010E0,2.293000031E2,4.598661045E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.299033462E1,6.503823070E1,2.555105658E1,2.069595657E1,3.817437744E1,1.610000014E0,2.298999939E2,4.614008988E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.399138128E1,6.503822261E1,2.555103008E1,2.086496799E1,3.834338379E1,1.309999943E0,2.376000061E2,4.629521942E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.499328336E1,6.503821510E1,2.555100222E1,2.107700915E1,3.855541992E1,1.610000014E0,2.363999939E2,4.645772933E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.599102159E1,6.503820717E1,2.555097313E1,2.100957057E1,3.848797607E1,1.460000038E0,2.366000061E2,4.660492483E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.699667336E1,6.503819907E1,2.555094832E1,2.095372832E1,3.843212891E1,1.340000033E0,2.303999939E2,4.675535322E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.799294737E1,6.503819095E1,2.555092268E1,2.087878215E1,3.835717773E1,1.429999948E0,2.308999939E2,4.691268502E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.899061227E1,6.503818331E1,2.555089446E1,2.099212953E1,3.847052002E1,1.490000010E0,2.361000061E2,4.706309371E-1,3.790092468E0,2.500000000E0,2.900000000E1
5.999222571E1,6.503817754E1,2.555086547E1,2.065003207E1,3.812841797E1,1.350000024E0,2.416999969E2,4.721780742E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.099680680E1,6.503817096E1,2.555083642E1,2.090742217E1,3.838580322E1,1.679999948E0,2.333999939E2,4.737151014E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.199228175E1,6.503816423E1,2.555080781E1,2.099318142E1,3.847155762E1,1.379999995E0,2.335000000E2,4.752603690E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.299233133E1,6.503815704E1,2.555077963E1,2.096321811E1,3.844158936E1,1.549999952E0,2.335000000E2,4.769841135E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.399130253E1,6.503814894E1,2.555074831E1,2.111550637E1,3.859387207E1,1.639999986E0,2.348999939E2,4.786369353E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.499300373E1,6.503814107E1,2.555071843E1,2.129080467E1,3.876916504E1,1.379999995E0,2.345000000E2,4.802340995E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.599239471E1,6.503813270E1,2.555069077E1,2.162149842E1,3.909985352E1,1.570000052E0,2.335000000E2,4.818912980E-1,3.790092468E0,2.500000000E0,2.900000000E1
6.699499841E1,6.503812345E1,2.555066308E1,2.216691413E1,3.964526367E1,1.529999971E0,2.311000061E2,4.835416255E-1,3.790092468E0,2.500000000E0,3.000000000E1
6.799499378E1,6.503811465E1,2.555063476E1,2.206999578E1,3.954833984E1,1.600000024E0,2.350000000E2,4.850959088E-1,3.790092468E0,2.500000000E0,3.000000000E1
6.899240159E1,6.503810711E1,2.555060687E1,2.213652914E1,3.961486816E1,1.460000038E0,2.371999969E2,4.866615344E-1,3.790092468E0,2.500000000E0,3.000000000E1
6.999627102E1,6.503809901E1,2.555057958E1,2.213012561E1,3.960845947E1,1.549999952E0,2.385000000E2,4.881518427E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.099237841E1,6.503809138E1,2.555055347E1,2.225323841E1,3.973156738E1,1.429999948E0,2.351999969E2,4.896419459E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.199274804E1,6.503808355E1,2.555052770E1,2.209497918E1,3.957330322E1,1.519999981E0,2.335000000E2,4.910395603E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.299044706E1,6.503807605E1,2.555050380E1,2.215431000E1,3.963262939E1,1.279999971E0,2.356999969E2,4.924875045E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.399518513E1,6.503806862E1,2.555047846E1,2.204359699E1,3.952191162E1,1.580000043E0,2.376000061E2,4.939670670E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.499326367E1,6.503806113E1,2.555045240E1,2.216237625E1,3.964068604E1,1.370000005E0,2.375000000E2,4.954718324E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.599391106E1,6.503805351E1,2.555042590E1,2.211941243E1,3.959771729E1,1.470000029E0,2.335000000E2,4.970495544E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.699365393E1,6.503804524E1,2.555039858E1,2.195071648E1,3.942901611E1,1.559999943E0,2.343999939E2,4.986163755E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.799090674E1,6.503803669E1,2.555037204E1,2.162766263E1,3.910595703E1,1.440000057E0,2.328999939E2,4.999432210E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.899303445E1,6.503803047E1,2.555034791E1,2.165012783E1,3.912841797E1,1.169999957E0,2.326999969E2,5.010522058E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.999471606E1,6.503802562E1,2.555032726E1,2.170884716E1,3.918713379E1,1.039999962E0,2.326999969E2,5.024230321E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.099322867E1,6.503802036E1,2.555030084E1,2.190465212E1,3.938293457E1,1.519999981E0,2.326999969E2,5.038636543E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.199545164E1,6.503801450E1,2.555027346E1,2.195079917E1,3.942907715E1,1.279999971E0,2.376999969E2,5.053221736E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.299035320E1,6.503800801E1,2.555024645E1,2.225854305E1,3.973681641E1,1.500000000E0,2.381000061E2,5.068442217E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.399501466E1,6.503800082E1,2.555021885E1,2.223999327E1,3.971826172E1,1.440000057E0,2.381999969E2,5.082812308E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.499229747E1,6.503799357E1,2.555019350E1,2.265271771E1,4.013098145E1,1.370000005E0,2.365000000E2,5.094180277E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.599127637E1,6.503798703E1,2.555017488E1,2.254127135E1,4.001953125E1,8.999999762E-1,2.401000061E2,5.107188392E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.698658252E1,6.503797974E1,2.555015320E1,2.257478403E1,4.005303955E1,1.450000048E0,2.401000061E2,5.125099704E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.799261007E1,6.503797018E1,2.555012248E1,2.244301507E1,3.992126465E1,1.720000029E0,2.370000000E2,5.141827623E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.899132908E1,6.503796124E1,2.555009381E1,2.231838685E1,3.979663086E1,1.259999990E0,2.368999939E2,5.153337603E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.998966387E1,6.503795500E1,2.555007424E1,2.272555621E1,4.020379639E1,8.100000024E-1,2.371000061E2,5.167172097E-1,3.790092468E0,2.500000000E0,3.000000000E1
9.099152184E1,6.503794741E1,2.555005088E1,2.300107353E1,4.047930908E1,1.649999976E0,2.371999969E2,5.180664072E-1,3.790092468E0,2.500000000E0,3.000000000E1
