"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.419384530E-1,-1.919333935E-1,-2.079234123E-1,-2.853956223E-1,4.018970442E-1
3.469230890E-1,-1.467390060E-1,-1.920156479E-1,-3.304114342E-1,4.093581082E-1
3.519077240E-1,-1.155695915E-1,-3.451242447E-1,-3.010492325E-1,4.723322084E-1
3.568923590E-1,-1.971786022E-1,-3.323726654E-1,-3.113732338E-1,4.962905204E-1
3.618769950E-1,-3.237833977E-1,-2.460289001E-1,-3.322834969E-1,5.251459136E-1
3.668616300E-1,-3.955481052E-1,-2.852525711E-1,-2.244100571E-1,5.368307057E-1
3.718462660E-1,-4.936027527E-1,-2.877173424E-1,-1.146664619E-1,5.827292202E-1
3.768309010E-1,-6.437120438E-1,-2.256827354E-1,-1.044416428E-1,6.900767704E-1
3.818155370E-1,-7.318027020E-1,-2.205977440E-1,-5.737590790E-2,7.664793239E-1
3.868001720E-1,-8.229064941E-1,-2.056875229E-1,4.739522934E-2,8.495462100E-1
3.917848070E-1,-8.178355694E-1,-1.220831871E-1,3.920316696E-2,8.278261964E-1
3.967694430E-1,-7.839746475E-1,-9.130048752E-2,1.206622124E-1,7.984431078E-1
4.017540780E-1,-8.066680431E-1,5.485534668E-3,1.442208290E-1,8.194773154E-1
4.067387140E-1,-8.802745342E-1,1.621961594E-2,6.351947784E-2,8.827123289E-1
4.117233490E-1,-9.398214817E-1,1.761245728E-2,2.202796936E-2,9.402445679E-1
4.167079840E-1,-9.663810730E-1,4.532337189E-2,-3.754997253E-2,9.681717754E-1
4.216926200E-1,-9.862270355E-1,2.561903000E-2,-4.622459412E-2,9.876420472E-1
4.266772550E-1,-9.615548849E-1,3.712987900E-2,-4.247379303E-2,9.632084134E-1
4.316618910E-1,-9.188737869E-1,7.933568954E-2,7.302570343E-2,9.251788699E-1
4.366465260E-1,-8.179061413E-1,1.065773964E-1,2.403244972E-1,8.591187702E-1
4.416311620E-1,-6.826632023E-1,1.024317741E-1,3.833222389E-1,7.895930945E-1
4.466158490E-1,-5.582442284E-1,6.715297699E-2,5.167870522E-1,7.636851433E-1
4.516004320E-1,-4.437577724E-1,-1.804399490E-2,6.366281509E-1,7.762357560E-1
4.565851200E-1,-3.317195177E-1,-7.465982437E-2,7.219691277E-1,7.980296668E-1
4.615697550E-1,-1.915314198E-1,-1.221404076E-1,8.513813019E-1,8.811655265E-1
4.665543910E-1,-8.306717873E-2,-1.938352585E-1,1.007720947E0,1.029550276E0
4.715390260E-1,1.501595974E-2,-2.422647476E-1,1.145721436E0,1.171151269E0
4.765236620E-1,1.093446016E-1,-3.315653801E-1,1.317396164E0,1.362873617E0
4.815082970E-1,1.995944977E-1,-4.303989410E-1,1.363473892E0,1.443655869E0
4.864929320E-1,3.068736792E-1,-5.077896118E-1,1.292269230E0,1.421963961E0
4.914775680E-1,4.928183556E-1,-5.733451843E-1,1.239971638E0,1.452282443E0
4.964622030E-1,6.529111266E-1,-5.798382759E-1,1.230161190E0,1.508576123E0
5.014468390E-1,8.116611242E-1,-5.444765091E-1,1.193719387E0,1.542794356E0
5.064314740E-1,9.841506481E-1,-4.749994278E-1,1.216575623E0,1.635308289E0
5.114161090E-1,1.147390008E0,-4.146566391E-1,1.274782181E0,1.764515108E0
5.164007450E-1,1.254624367E0,-3.352146149E-1,1.311468601E0,1.845643799E0
5.213853800E-1,1.278589845E0,-2.677903175E-1,1.348347664E0,1.877377178E0
5.263700160E-1,1.229784131E0,-2.645797729E-1,1.418732166E0,1.896093992E0
5.313559530E-1,1.222336411E0,-2.919807434E-1,1.493925571E0,1.952222495E0
5.363444430E-1,1.193742752E0,-3.164515495E-1,1.535746098E0,1.970705310E0
5.413328800E-1,1.101441741E0,-3.663964272E-1,1.444768429E0,1.853314885E0
5.463213700E-1,9.935267568E-1,-3.468580246E-1,1.357577801E0,1.717679653E0
5.513098590E-1,9.130078554E-1,-3.202519417E-1,1.274163246E0,1.599886442E0
5.562982970E-1,7.813686132E-1,-2.344150543E-1,1.206248283E0,1.456201308E0
5.612637660E-1,5.728322864E-1,-1.418304443E-1,1.053703785E0,1.207702103E0
5.662522550E-1,3.826449513E-1,-8.505487442E-2,9.166746140E-1,9.969673206E-1
5.712406930E-1,1.720567346E-1,-8.582592010E-3,8.251290321E-1,8.429205778E-1
5.762291820E-1,4.476547241E-3,5.202341080E-2,7.355608940E-1,7.374118954E-1
5.812176720E-1,-1.043050289E-1,1.208171844E-1,6.358351707E-1,6.555628845E-1
5.862061090E-1,-1.219778061E-1,1.004300117E-1,5.544495583E-1,5.765232737E-1
5.911715780E-1,-1.613259315E-1,1.080989838E-1,5.622396469E-1,5.948317973E-1
5.961600680E-1,-2.817538977E-1,1.432828903E-1,6.633954048E-1,7.348528483E-1
